90a94ea5-bca4-483d-a591-2e886c0ff47f,"0,59934289771",kg
78cd4852-e7b9-4301-adf7-51e730b0356a,"0,59934289771",kg
ec0fa5ce-51b4-4792-a8e8-c4ee668eddc3,"0,59934289771",kg
d0696f95-6cb3-453b-b849-c99ba9c90c28,"0,72562742146",kg
01c12fca-ad8b-4902-8b48-2d5afe3d3a0f,"0,73481629593",kg
6df9ea09-115a-4678-9f30-d92c877a46ec,"1,2646540326",kg
024c9722-1e88-412b-8c4b-10c532be8dca,"11,9",MJ
b6d0042d-0ef8-49ed-9162-a07ff1ccf750,"26,3",MJ
7c337428-fb1b-45c7-bbb2-2ee4d29e17ba,"35,260572687",MJ
88d06db9-59a1-4719-9174-afeb1fa4026a,"42,3",MJ
1acb026e-9de6-48fe-9e0d-be4d24125bbc,1000,kg
8c75e7ab-8ab8-41e4-b394-c166ff5b050d,1000,kg
629ffbca-ca71-4e4b-a006-ca9bdd9cd1df,1000,kg
831f249e-53f2-49cf-a93c-7cee105f048e,1000,kg
67c40aae-d403-464d-9649-c12695e43ad8,1000,kg
23e83c1f-07c9-4b5f-a898-0f4f09a6691f,8085,MJ
bac875f4-75fb-4dde-841a-b07d3a41bcd1,9555,MJ
2ba5e39b-adb6-4767-a51d-90c1cf32fe98,560000,MJ
