10000,ha,m2
1000,metric ton,kg
0.2778,MJ,kWh
0.004184,kilocalorie thermochemical,MJ
0.001,g,kg
0.000001,mg,kg
0.0041868,kilocalorie ISO IT,MJ
1000,MWh,kWh
0.453592,pound avoirdupois,kg
